School Name,Student Size,Endowment,In-State Tuition,Median Salary (1 Year After Graduation),Completion Rate,Overall Admission Rate,Carnegie Classification (Undergraduate),Carnegie Size Setting,Average SAT Score,School Locale,Student-Faculty Ratio,Percent Male Enrollment,Percent Female Enrollment,Asian Enrollment,Black Enrollment,White Enrollment,Hispanic Enrollment,Native American Enrollment,Native Hawaiian Enrollment,Diversity Index,Gender Shannon Index
University of Arkansas at Little Rock,4802,159965311,8366,47477,0.4234,0.6146,7,12,1089,12,11,0.3657,0.6343,0.0217,0.2597,0.4933,0.0344,0.0104,0,0.68744861,0.947313127
University of Arkansas,26002,1465736201,9656,47767,0.6642,0.7893,12,16,1167,13,20,0.4404,0.5596,0.028,0.0429,0.7421,0.1068,0.0082,0.0012,0.43518826,0.989726222
University of Arkansas at Pine Bluff,2155,7385811,8668,32132,0.4031,0.6933,10,11,878,13,13,0.4343,0.5657,0.0028,0.9021,0.026,0.026,0.0051,0.0014,0.18482778,0.987509152
Arkansas State University,7463,88808323,7456,45510,0.5543,0.6951,9,13,1119,13,15,0.3765,0.6235,0.01,0.1443,0.6873,0.0472,0.0025,0.0011,0.50446092,0.95553253
Arkansas Tech University,6108,62417057,8071,40548,0.4831,0.9439,10,13,1090,33,18,0.4286,0.5714,0.018,0.0706,0.7205,0.1074,0.0079,0.0007,0.46397373,0.985239992
University of Central Arkansas,7563,52440586,9778,39167,0.467,0.9121,13,13,1118,13,14,0.3825,0.6175,0.0213,0.1731,0.6508,0.0673,0.0036,0.0009,0.541499,0.959788574
Central Baptist College,489,3818793,17700,39020,0.4137,0.6394,11,7,1011,13,10,0.5706,0.4294,0.0082,0.1656,0.5971,0.0982,0.0082,0,0.60627051,0.985570002
Harding University,3198,219637477,23148,40752,0.6818,0.4512,12,14,1182,32,15,0.4425,0.5575,0.0153,0.051,0.7892,0.0453,0.0041,0.0006,0.37225901,0.99043904
Henderson State University,1800,24967380,7560,36411,0.3911,0.7066,11,11,1019,32,16,0.4761,0.5239,0.0183,0.2222,0.6183,0.0728,0.0111,0.0028,0.56256649,0.998351208
Hendrix College,1127,219548953,35100,26349,0.688,0.6028,12,11,1246,13,11,0.4916,0.5084,0.0319,0.0745,0.6877,0.0914,0.008,0.0009,0.51208208,0.999796397
John Brown University,1354,154690175,29720,41767,0.6902,0.5664,13,11,1218,32,15,0.4092,0.5908,0.0199,0.0133,0.7075,0.0938,0.017,0.0015,0.48978116,0.976078487
Ouachita Baptist University,1587,137304252,31180,32385,0.6106,0.7232,12,11,1180,32,12,0.4247,0.5753,0.012,0.0643,0.8009,0.0592,0.0032,0.0006,0.35076546,0.983577167
University of the Ozarks,767,126791516,25950,30190,0.5026,0.6008,10,8,1087,33,14,0.4798,0.5202,0.013,0.0626,0.4237,0.1343,0.0065,0.0065,0.79826956,0.998822325
University of Arkansas Community College-Morrilton,1519,356307,3336,41411,0.3404,1,2,2,1020,32,20,0.3818,0.6182,0.0053,0.0928,0.7103,0.133,0.0033,0,0.46913409,0.959303392
Williams Baptist University,556,12875667,19450,29553,0.4187,0.5931,11,8,1050,42,16,0.4694,0.5306,0.0018,0.0737,0.804,0.018,0,0.0018,0.34782183,0.997296547
